objct_d,cnsttn_,dscrptn,ONSCnID,regn_nm,shp_lng,shape_r,prty_cl,wnnr_19
421,North East Fife,Westminster Constituency,S14000049,Scotland Euro Region,106798.85454,823156809.265,#FDBB30,Liberal Democrat
422,East Lothian,Westminster Constituency,S14000020,Scotland Euro Region,106798.74385,823155102.967,#FFFF00,Scottish National Party
423,Kirkcaldy and Cowdenbeath,Westminster Constituency,S14000041,Scotland Euro Region,106798.369205,823149327.804,#FFFF00,Scottish National Party
424,Edinburgh West,Westminster Constituency,S14000026,Scotland Euro Region,106798.735335,823154971.714,#FDBB30,Liberal Democrat
425,Edinburgh South West,Westminster Constituency,S14000025,Scotland Euro Region,106798.406102,823149896.571,#FFFF00,Scottish National Party
426,Livingston,Westminster Constituency,S14000044,Scotland Euro Region,106798.865893,823156984.271,#FFFF00,Scottish National Party
427,Lanark and Hamilton East,Westminster Constituency,S14000042,Scotland Euro Region,106798.380558,823149502.809,#FFFF00,Scottish National Party
428,Workington,Westminster Constituency,E14001053,North West Euro Region,106798.874408,823157115.525,#0087DC,Conservative
429,Barrow and Furness,Westminster Constituency,E14000543,North West Euro Region,106798.184722,823146483.974,#0087DC,Conservative
430,Lancaster and Fleetwood,Westminster Constituency,E14000776,North West Euro Region,106798.846026,823156678.012,#DC241F,Labour
431,Blackburn,Westminster Constituency,E14000570,North West Euro Region,106798.658703,823153790.43,#DC241F,Labour
432,Rossendale and Darwen,Westminster Constituency,E14000902,North West Euro Region,106798.857379,823156853.017,#0087DC,Conservative
433,Heywood and Middleton,Westminster Constituency,E14000747,North West Euro Region,106798.670056,823153965.436,#0087DC,Conservative
434,Oldham West and Royton,Westminster Constituency,E14000871,North West Euro Region,106798.661541,823153834.181,#DC241F,Labour
435,Bury South,Westminster Constituency,E14000612,North West Euro Region,106798.678571,823154096.689,#0087DC,Conservative
436,Manchester Central,Westminster Constituency,E14000807,North West Euro Region,106798.650189,823153659.176,#DC241F,Labour
437,Denton and Reddish,Westminster Constituency,E14000661,North West Euro Region,106798.670056,823153965.435,#DC241F,Labour
438,Hazel Grove,Westminster Constituency,E14000738,North West Euro Region,106798.658703,823153790.43,#0087DC,Conservative
