ons_code,pc_ns_prof_man,pc_ns_inter,pc_ns_routine,pc_never_worked
E14001091,0.2755938814351841,0.20301228882257571,0.3445922131629033,0.11659108531685425
E14001092,0.31683747162803494,0.1656349588463214,0.23639865190178141,0.1298117706398881
E14001093,0.21078725487100136,0.18610330417574553,0.3740907990442206,0.14797738971168725
E14001094,0.25837545287829317,0.18149796484322583,0.2372523147112761,0.20779845238627723
E14001095,0.1746042260051666,0.18895586319577842,0.35259764633150076,0.18133845576383828
E14001096,0.18937436915128394,0.12874446136212,0.2472499272920124,0.2094503276136383
E14001097,0.2685212716611758,0.19539956469510816,0.33651684725079983,0.1272850533426896
E14001098,0.17408482938045836,0.17377176600131702,0.3110878412660715,0.21354161044120346
E14001099,0.2700228057895093,0.16235012531894236,0.24125589902228645,0.10697270079255763
E14001100,0.1948768817831719,0.1972225463881433,0.32530050180884584,0.179775936515346
E14001101,0.25786024209415354,0.21505726608206183,0.3655256883005199,0.11545728171785216
E14001102,0.20671685684037172,0.19450652864368898,0.33294906481590403,0.16949770615221738
E14001103,0.2183301286261958,0.20879960826933872,0.3399816077677324,0.1430055773847201
E14001104,0.2663082976217327,0.2535147733253139,0.3305139964413703,0.09843871388116182
E14001105,0.2110036410748989,0.2313757902026046,0.37031742131480777,0.1322514352089709
E14001106,0.30526969364704015,0.2044070438722803,0.34767560141088816,0.09499715972891924
E14001107,0.2460816743850364,0.20436639201299092,0.3807060804715222,0.12419558549347447
E14001108,0.2886608232552979,0.24904027515810495,0.3388106069011428,0.07501386885609675
E14001109,0.25166058790850465,0.20266418685538998,0.41852853795802036,0.08569841308180962
E14001110,0.26233071949068887,0.21626867492596577,0.32209048258116035,0.1291689311343042
E14001111,0.2057507439998287,0.20107264435737685,0.35161753056287065,0.1544415184019526
E14001112,0.34558388416745356,0.22952470884482215,0.28255587031790996,0.08475920679886685
E14001113,0.24049328224280933,0.22824610758112238,0.35031769898627346,0.12250812436338944
E14001114,0.20852423750374913,0.2123405971723774,0.44172553237700257,0.09419892645492248
E14001115,0.33679713528091926,0.23795979421163566,0.2758765269813929,0.06844502866985472
E14001116,0.2829244249726177,0.212026286966046,0.27980284775465497,0.0684118291347207
E14001117,0.39716390423572745,0.2354205033763045,0.2592879066912216,0.0540085942295887
E14001118,0.18807731295345048,0.19300903199353067,0.3267349286438342,0.19224592535222496
E14001119,0.222597732556746,0.20792886076556172,0.3631624361832171,0.13156443997027875
E14001120,0.18074961923051452,0.18519744829260756,0.28479350153411476,0.21767874092223474
E14001121,0.3329724258864789,0.2584881900883831,0.29929034611808736,0.06096197526214826
E14001122,0.26812510459473027,0.22214061250674055,0.2589486602577214,0.14592127038435077
E14001123,0.25917494102803224,0.21919286119187376,0.27659224312908004,0.12651087095653446
E14001124,0.34520333935458675,0.22481081872772543,0.23940828980129863,0.10529707562368794
E14001125,0.4175216555580519,0.2767168426570808,0.19728400609101576,0.060398412341795854
E14001126,0.2574614065180103,0.22450379808870374,0.40207057093849546,0.07308257779955893
E14001127,0.27785540087389493,0.23704399959353725,0.35235240321105576,0.09147952443857331
E14001128,0.29555807156586533,0.2109586876958319,0.3666104952737039,0.08128176097316939
E14001129,0.3151811924908109,0.22793990675185632,0.24728026247625626,0.08252954091323976
E14001130,0.390892696122633,0.19340622182146078,0.16617448151487826,0.050225428313796214
E14001131,0.42442484205507214,0.12895458338300156,0.11248062939563715,0.03591608058171415
E14001132,0.3282006900969957,0.212244163959853,0.301821901026154,0.08167646364627472
E14001133,0.3019701850325867,0.21979174469997753,0.3129073338826878,0.0763228206856943
E14001134,0.38463897850683876,0.18080610714772571,0.2554755305130186,0.06367292225201072
E14001135,0.3269015326675089,0.20751793673873145,0.32705646795223225,0.08080471003265559
E14001136,0.3339461253670369,0.2738414400612792,0.295135963232478,0.05572577556491766
E14001137,0.45130662577471087,0.25572806849402596,0.1720273464954316,0.06123570378889528
E14001138,0.4136693752234868,0.23668018890026016,0.23798720114425223,0.05933342375556405
E14001139,0.3200634562990723,0.26663141316718203,0.2791617330926899,0.07464162135442412
E14001140,0.3526231148142989,0.2013777209355333,0.2944751870939965,0.06953185346519608
E14001141,0.3691672864237219,0.23248086749994,0.2698462202816496,0.060492287023486795
E14001142,0.23446676435634425,0.19842158095743576,0.3747476029491514,0.1268273546481441
E14001143,0.27251534012184125,0.19971848952033253,0.388781367525127,0.08393630825397523
E14001144,0.32116402116402115,0.22548100048100048,0.28918951418951416,0.10082972582972582
E14001145,0.34201156292621693,0.23481913314262953,0.25930887979626077,0.09404835186056898
E14001146,0.3594450954629926,0.23558585750979488,0.3052211687558444,0.05480392505001006
E14001147,0.3769480718533505,0.233057445895408,0.2753479247133836,0.06312304579731469
E14001148,0.28046478562498467,0.24813080675606108,0.3437477018115853,0.06727869977692251
E14001149,0.3973190851143607,0.12498125234345707,0.16547619047619047,0.04485376827896513
E14001150,0.2717242382724881,0.2224013967530342,0.3812578052062999,0.07976769281132921
E14001151,0.32172891553037786,0.19451946512087478,0.21151439299123906,0.06526798849438992
E14001152,0.27000786578851593,0.21499430610831308,0.3815611829206729,0.08075934209136054
E14001153,0.36907286453473576,0.2512148128400567,0.23564339638646195,0.07614846769991396
E14001154,0.29671340525907725,0.2800373207879417,0.3030737085561849,0.07750634059161333
E14001155,0.3521590412262428,0.28457166370907594,0.2699508782758532,0.049777537741429415
E14001156,0.35061207151775714,0.25387774016244674,0.29109117355542113,0.05356108486619383
E14001157,0.2875884398608946,0.24818323539992804,0.3264060438901547,0.08190430507255067
E14001158,0.4575164243960478,0.2369510113289535,0.1850913041229114,0.06461124618488438
E14001159,0.4025531523027868,0.22947290872883405,0.2476488667365004,0.05899416389442059
E14001160,0.4959007138158218,0.17600911170677586,0.14516873349239545,0.08090567223384096
E14001161,0.4106736910475228,0.21859776999963915,0.2351122818412538,0.05629127124454227
E14001162,0.47339048749384477,0.24422671430916276,0.17162662087599903,0.053080137877047004
E14001163,0.36700071313290544,0.19770045915750228,0.2686634388019367,0.06784771484692664
E14001164,0.4368605069669392,0.23649030798498638,0.21228597871355853,0.05585120057586508
E14001165,0.29333900994697526,0.21412444685270476,0.3665673259279328,0.08118847647430687
E14001166,0.36012391067538124,0.24745824255628177,0.2650009077705156,0.061195079883805376
E14001167,0.37475972617214287,0.2535717898854554,0.20940636908308136,0.0902305504659345
E14001168,0.3738731477462955,0.23586087172174344,0.2861553723107446,0.05293570587141174
E14001169,0.42814686671767743,0.24484070217461215,0.16535258436186612,0.08672943211683688
E14001170,0.36119472100023153,0.2229682796943737,0.29947234374428777,0.06741326574133875
E14001171,0.36551778823280645,0.2728630332505154,0.26193371041919966,0.06124121160860602
