bc_name,pa_name,ons_code,PANO,region_name,country_name,constituency_type,index_of_change,turnout_19,electorate,total_votes,majority,maj_pc,Win19,Second19,con_19,lab_19,lib_19,green_19,bxp_19,snp_19,pc_19,other_19,gss_code,Leave.preds,Remain.preds,leave_hanretty,remain_hanretty
Chippenham,Chippenham,E14001168,147,SW,England,County,96,70.5,71648,50519,13200,26.13,Con,LD,56.38,11.67,30.26,1.69,0,0,0,0,E14001168,28601.98236,23816.81586,54.56436113000001,45.43563887
Chipping Barnet,Chipping Barnet,E14001169,148,GL,England,Borough,43.3,76.7,76187,58422,4209,7.2,Con,Lab,47.55,40.34,9.83,2.16,0,0,0,0.12,E14001169,21729.03187,29671.87251,42.27363726,57.726362740000006
Chorley,Chorley,E14001170,149,NW,England,County,4.4,53.5,74568,39870,17392,43.62,Spkr,Other,0,0,0,9.03,0,0,0,90.97,E14001170,30787.99799,23096.04231,57.137508280000006,42.86249172
Christchurch,Christchurch,E14001171,150,SW,England,County,3,72.5,71598,51890,25034,48.24,Con,LD,65.59,12.87,17.35,4.19,0,0,0,0,E14001171,35175.22956,22783.97897,60.68963061,39.31036939
Cities of London and Westminster,Cities of London & Westminster,E14001172,151,GL,England,Borough,32.6,71.3,73140,52116,5976,11.47,Con,Lab,40.33,28.87,28.23,1.94,0.2,0,0,0.43,E14001172,15300.68903,36136.77862,29.74619423,70.25380577
Clacton,Clacton,E14001174,152,EE,England,County,7.9,60.1,75959,45669,25717,56.31,Con,Lab,71.88,15.56,6.19,2.94,0,0,0,3.43,E14001174,39601.06001,15548.19979,71.80705626,28.192943739999997
Clapham and Brixton Hill,Clapham & Brixton Hill,E14001175,153,GL,England,Borough,91.6,64.4,75460,48632,17291,35.55,Lab,LD,19.5,55.36,19.81,4.21,1.13,0,0,0,E14001175,8710.698439,43873.90896,16.56511072,83.43488928000001
Clwyd East,Clwyd East,W07000094,154,WA,Wales,County,85.9,69.1,76395,52820,5284,10,Con,Lab,47.94,37.94,5.34,0,4.11,0,4.66,0,W07000094,29293.45577,27842.26784,51.26994798,48.730052019999995
Clwyd North,Clwyd North,W07000095,155,WA,Wales,County,92.2,67.4,76150,51289,2834,5.53,Con,Lab,45.78,40.25,4.88,0,1.85,0,7.24,0,W07000095,30316.41666,22837.03909,57.03564562,42.96435438
Coatbridge and Bellshill,Coatbridge & Bellshill,S14000070,156,SC,Scotland,Borough,26.4,63.3,72507,45896,5084,11.08,SNP,Lab,11.86,36.27,3,1.53,0,47.35,0,0,S14000070,16972.23207,25742.37503,39.73402361,60.26597639
Colchester,Colchester,E14001176,157,EE,England,Borough,8.8,63.9,76843,49091,10940,22.29,Con,Lab,52.34,30.05,14.68,2.93,0,0,0,0,E14001176,25850.39351,24765.32226,51.071871879999996,48.92812812
Colne Valley,Colne Valley,E14001177,158,YH,England,County,15.6,72.4,71518,51765,7761,14.99,Con,Lab,51.23,36.23,7.01,1.73,2.1,0,0,1.7,E14001177,26118.05841,26422.89047,49.709910019999995,50.29008998
Congleton,Congleton,E14001178,159,NW,England,County,14.1,71.3,69836,49813,18203,36.54,Con,Lab,60.64,24.1,11.08,2.86,0,0,0,1.32,E14001178,25042.07414,23331.09842,51.76851716,48.23148284
Corby and East Northamptonshire,Corby & East Northamptonshire,E14001179,160,EM,England,County,10.7,70.2,76748,53890,8676,16.1,Con,Lab,54.64,38.54,6.83,0,0,0,0,0,E14001179,35534.59604,24296.14246,59.39187269,40.60812731
North Cornwall,Cornwall North,E14001385,161,SW,England,County,6.7,72.1,75034,54077,15783,29.19,Con,LD,59.07,9.62,29.88,0.19,0,0,0,1.25,E14001385,34937.5344,23463.26245,59.823728919999994,40.17627108
South East Cornwall,Cornwall South East,E14001486,162,SW,England,County,0.7,72.8,71734,52247,20225,38.71,Con,Lab,59.03,20.32,16.31,2.69,0,0,0,1.66,E14001486,29501.40031,24101.43446,55.037015180000004,44.96298482
North Cotswolds,Cotswolds North,E14001386,163,SW,England,County,97.7,71.6,70915,50793,20997,41.34,Con,LD,59.34,16.52,18,5.8,0.34,0,0,0,E14001386,24482.89636,27183.19054,47.38678277,52.61321723
South Cotswolds,Cotswolds South,E14001482,164,SW,England,County,90.4,73,72865,53189,16092,30.25,Con,LD,57.9,10.66,27.65,3.79,0,0,0,0,E14001482,27204.75609,29502.82403,47.973755940000004,52.02624406
Coventry East,Coventry East,E14001180,165,WM,England,Borough,34.5,58.2,73389,42684,7288,17.07,Lab,Con,35.02,52.1,5.4,2.33,5.14,0,0,0,E14001180,30091.85289,21166.99521,58.70567523,41.29432477
Coventry North West,Coventry North West,E14001181,166,WM,England,Borough,NA,65,73431,47744,208,0.44,Lab,Con,43.38,43.81,5.69,3.02,4.1,0,0,0,E14001181,29211.60971,20781.98377,58.43070618,41.56929382
Coventry South,Coventry South,E14001182,167,WM,England,Borough,37.6,65.9,70998,46805,808,1.73,Lab,Con,42.54,44.27,6.73,2.65,2.88,0,0,0.93,E14001182,25793.5374,26018.02103,49.7833653,50.21663469999999
Cowdenbeath and Kirkcaldy,Cowdenbeath & Kirkcaldy,S14000071,168,SC,Scotland,County,36.1,67,70329,47148,3220,6.83,SNP,Lab,22.23,29.49,6.46,3.51,1.99,36.32,0,0,S14000071,17834.84208,27753.11067,39.12183154,60.878168460000005
Cramlington and Killingworth,Cramlington & Killingworth,E14001183,169,NE,England,County,102.8,65.6,73295,48072,2157,4.49,Lab,Con,39.89,44.37,5.24,2.48,8.02,0,0,0,E14001183,29204.30231,19204.94537,60.32794086,39.67205914
Crawley,Crawley,E14001184,170,SE,England,Borough,NA,67,74446,49899,8360,16.75,Con,Lab,54.19,37.44,5.47,2.91,0,0,0,0,E14001184,31447,22388,58.4136714,41.5863286
Crewe and Nantwich,Crewe & Nantwich,E14001185,171,NW,England,County,6.2,65.8,76236,50196,5816,11.59,Con,Lab,50.82,39.24,5.13,1.89,2.62,0,0,0.3,E14001185,32731.03655,21209.98987,60.67929871,39.320701289999995
Croydon East,Croydon East,E14001186,172,GL,England,Borough,26.8,67.2,75346,50622,3413,6.74,Lab,Con,41.34,48.08,6.6,2.33,1.65,0,0,0,E14001186,26720.02281,25928.44507,50.75175762000001,49.24824238
Croydon South,Croydon South,E14001187,173,GL,England,Borough,27.2,71.1,71541,50894,13408,26.34,Con,Lab,54.48,28.13,13.53,2.88,0.12,0,0,0.87,E14001187,22294.29495,29541.51324,43.00944797,56.990552029999996
Croydon West,Croydon West,E14001188,174,GL,England,Borough,62.6,62.8,70812,44449,20090,45.2,Lab,Con,21.51,66.71,6.97,2.71,1.32,0,0,0.78,E14001188,19026.77754,23322.98422,44.92770856,55.07229144
Cumbernauld and Kirkintilloch,Cumbernauld & Kirkintilloch,S14000072,175,SC,Scotland,County,28.1,68.3,70579,48212,12005,24.9,SNP,Lab,15.02,27.13,5.58,0.24,0,52.03,0,0,S14000072,16705.45243,27839.23721,37.50268004,62.49731996
Dagenham and Rainham,Dagenham & Rainham,E14001189,176,GL,England,Borough,23,59.7,73627,43992,706,1.6,Lab,Con,43.12,44.73,3.04,1.53,6.62,0,0,0.96,E14001189,36129.08185,15155.69639,70.4479635,29.5520365
Darlington,Darlington,E14001190,177,NE,England,County,5.6,65.7,70446,46301,4968,10.73,Con,Lab,49.66,38.93,4.62,2.52,3.64,0,0,0.63,E14001190,28332.25727,21233.17239,57.16132688,42.838673119999996
Dartford,Dartford,E14001191,178,SE,England,County,13.2,64.5,72048,46488,14704,31.63,Con,Lab,61.12,29.49,6.99,2.4,0,0,0,0,E14001191,32534.38526,18296.70389,64.00489504,35.99510496
Daventry,Daventry,E14001192,179,EM,England,County,17.4,74.4,76539,56956,26612,46.72,Con,Lab,64.5,17.77,13.12,4.61,0,0,0,0,E14001192,34062.57953,24535.5825,58.129092029999995,41.87090797
Derby North,Derby North,E14001193,180,EM,England,Borough,NA,65.4,71876,47017,2540,5.4,Con,Lab,45.22,39.81,7.34,2.22,4.06,0,0,1.35,E14001193,27185.89312,21685.60361,55.62729799,44.37270201
Derby South,Derby South,E14001194,181,EM,England,Borough,NA,58.9,72067,42462,6019,14.18,Lab,Con,36.91,51.08,6.17,0,5.84,0,0,0,E14001194,28819.3572,19301.28865,59.88979718,40.110202820000005
Derbyshire Dales,Derbyshire Dales,E14001195,182,EM,England,County,19.1,75.5,71435,53930,18797,34.85,Con,Lab,59,24.15,12.76,4.09,0,0,0,0,E14001195,29268.19564,27747.75443,51.33334726,48.666652739999996
Mid Derbyshire,Derbyshire Mid,E14001362,183,EM,England,County,4.8,73.6,70085,51582,16816,32.6,Con,Lab,59.56,26.96,9.62,3.86,0,0,0,0,E14001362,28571.75894,26086.55145,52.27340314,47.72659686
North East Derbyshire,Derbyshire North East,E14001391,184,EM,England,County,0.9,68.4,72344,49479,12902,26.08,Con,Lab,58.4,32.32,6.14,2.67,0.47,0,0,0,E14001391,33668.20636,20629.25669,62.006960310000004,37.99303969
South Derbyshire,Derbyshire South,E14001483,185,EM,England,County,11.6,66.3,71202,47199,16483,34.92,Con,Lab,62.12,27.2,7.34,3.35,0,0,0,0,E14001483,30735.12532,19063.94358,61.71827304000001,38.28172696
Central Devon,Devon Central,E14001155,186,SW,England,County,2.8,77.2,73491,56724,17300,30.5,Con,Lab,55.3,24.8,14.99,4.92,0,0,0,0,E14001155,28905.79381,27729.76088,51.03824615,48.96175385
North Devon,Devon North,E14001387,187,SW,England,County,NA,72.7,76455,55581,14813,26.65,Con,LD,56.64,9.17,29.99,3.16,0,0,0,1.04,E14001387,33100,24931,57.03847943,42.96152057
South Devon,Devon South,E14001484,188,SW,England,County,6.3,75.6,71691,54189,13719,25.32,Con,LD,53.57,17.03,28.25,0.15,0,0,0,1,E14001484,30611.68753,26793.52898,53.325619849999995,46.67438015
South West Devon,Devon South West,E14001495,189,SW,England,County,12.7,74.4,75371,56100,23090,41.16,Con,Lab,62.57,21.41,12.13,3.88,0,0,0,0,E14001495,32082.88108,26579.01376,54.69117758000001,45.30882242
Dewsbury and Batley,Dewsbury & Batley,E14001196,190,YH,England,Borough,79.6,65.6,70226,46101,14009,30.39,Lab,Con,28.7,59.09,2.51,1.11,3.39,0,0,5.2,E14001196,26350.16234,18960.81012,58.154042849999996,41.845957150000004
Didcot and Wantage,Didcot & Wantage,E14001197,191,SE,England,County,23.8,73.1,74356,54346,10023,18.44,Con,LD,49.76,16.02,31.32,0.68,0,0,0,2.21,E14001197,26437.12695,28847.18094,47.82030916,52.179690840000006
Doncaster Central,Doncaster Central,E14001198,192,YH,England,County,13.5,61.4,75007,46043,1271,2.76,Lab,Con,36.6,39.36,4.09,2.25,15.58,0,0,2.11,E14001198,34524.75903,18075.84446,65.63567096,34.36432904
Doncaster East and the Isle of Axholme,Doncaster East & the Isle of Axholme,E14001199,193,YH,England,County,65.2,61.4,70113,43084,10085,23.41,Con,Lab,52.13,28.72,4.44,2.36,10.33,0,0,2.02,E14001199,31464.35072,15845.3824,66.5071406,33.4928594
Doncaster North,Doncaster North,E14001200,194,YH,England,County,8.9,55.9,71739,40070,2070,5.17,Lab,Con,33.16,38.32,3.61,0.04,20.34,0,0,4.52,E14001200,35543.0515,14164.82961,71.50385554,28.49614446
Dorking and Horley,Dorking & Horley,E14001201,195,SE,England,County,67,77.5,70317,54495,10381,19.05,Con,LD,51.17,9.94,32.12,4.22,0,0,0,2.56,E14001201,27934.71515,26232.86773,51.57090949999999,48.4290905
Mid Dorset and North Poole,Dorset Mid & North Poole,E14001363,196,SW,England,County,13.6,73.9,74305,54907,16570,30.18,Con,LD,60.04,7.25,29.86,2.85,0,0,0,0,E14001363,32672.11667,24682.17183,56.965429310000005,43.03457069
North Dorset,Dorset North,E14001388,197,SW,England,County,9.6,74.1,72109,53464,23195,43.38,Con,LD,63.75,11.93,20.37,3.95,0,0,0,0,E14001388,31348.73369,24241.11623,56.39290938,43.60709062
South Dorset,Dorset South,E14001485,198,SW,England,County,8.5,68.8,76640,52719,18147,34.42,Con,Lab,59.2,24.78,10.68,4.43,0,0,0,0.92,E14001485,34576.06414,22985.54763,60.06792212999999,39.93207787
West Dorset,Dorset West,E14001575,199,SW,England,County,9,76.7,75390,57813,12388,21.43,Con,LD,54.27,9.36,32.84,3.52,0,0,0,0,E14001575,29696.59728,29465.00252,50.19573064,49.80426936
Dover and Deal,Dover & Deal,E14001202,200,SE,England,County,0.8,67.5,75855,51197,12421,24.26,Con,Lab,56.87,32.61,5.72,2.74,0,0,0,2.06,E14001202,35731.47715,21100.41354,62.872230210000005,37.127769789999995
Droitwich and Evesham,Droitwich & Evesham,E14001203,201,WM,England,Borough,5.6,70.9,74345,52689,25631,48.65,Con,Lab,65.69,17.05,12.03,4.01,0,0,0,1.21,E14001203,33891.20413,23455.71753,59.09855865,40.90144135
Dudley,Dudley,E14001204,202,WM,England,Borough,15.9,59.4,71083,42224,13609,32.23,Con,Lab,63.16,30.93,3.79,2.12,0,0,0,0,E14001204,37282.39143,14968.74988,71.35230064,28.64769936
Dulwich and West Norwood,Dulwich & West Norwood,E14001205,203,GL,England,Borough,24.6,70.2,74314,52194,24963,47.83,Lab,Con,16.64,64.47,0.96,16.24,1.08,0,0,0.6,E14001205,11300.21466,36718.52644,23.53292569,76.46707431
Dumfries and Galloway,Dumfries & Galloway,S14000073,204,SC,Scotland,County,5.3,68.3,76863,52500,1556,2.96,Con,SNP,43.81,9.38,5.97,0,0,40.84,0,0,S14000073,24401.38143,30027.3455,44.8318063,55.1681937
"Dumfriesshire, Clydesdale and Tweeddale","Dumfriesshire, Clydesdale & Tweeddale",S14000074,205,SC,Scotland,County,10.7,72,70738,50896,4338,8.52,Con,SNP,46.47,8.3,7.3,0,0,37.94,0,0,S14000074,21915.23344,27442.19677,44.40108277,55.59891723
Mid Dunbartonshire,Dunbartonshire Mid,S14000097,206,SC,Scotland,County,11.3,78,75099,58552,1986,3.39,SNP,LD,15.57,9.43,34.49,1.56,0,37.88,0,1.07,S14000097,15353.91102,41062.09626,27.215522260000004,72.78447774
West Dunbartonshire,Dunbartonshire West,S14000106,207,SC,Scotland,County,3.7,66.3,70286,46615,9841,21.11,SNP,Lab,14.17,28.58,4.18,1.86,0,49.69,0,1.52,S14000106,17149.71017,27463.61219,38.4407824,61.559217600000004
Dundee Central,Dundee Central,S14000075,208,SC,Scotland,Borough,27.7,62,75298,46651,15221,32.63,SNP,Lab,11.06,23.85,5.54,0,2.55,56.48,0,0.51,S14000075,20316.82825,24251.60603,45.58568991,54.414310089999994
Dunfermline and Dollar,Dunfermline & Dollar,S14000076,209,SC,Scotland,County,17.1,68.7,70725,48619,10073,20.72,SNP,Lab,21.45,23.58,8.44,2.23,0,44.3,0,0,S14000076,16729.86028,28550.66773,36.94714045,63.052859549999994
Dunstable and Leighton Buzzard,Dunstable & Leighton Buzzard,E14001206,210,EE,England,County,7.4,65.2,74069,48270,15386,31.87,Con,Lab,58.71,26.84,10.79,3.65,0,0,0,0,E14001206,32725.15573,24011.97144,57.67855611,42.32144389
City of Durham,"Durham, City of",E14001173,211,NE,England,County,30.7,70.4,72878,51289,4657,9.08,Lab,Con,31.86,40.94,16.94,3.29,6.59,0,0,0.38,E14001173,23205.51559,27470.8678,45.79157793,54.20842207
North Durham,Durham North,E14001389,212,NE,England,County,9.1,65.4,73079,47798,4424,9.26,Lab,Con,34.43,43.69,6.36,2.61,10.68,0,0,2.22,E14001389,29437.72922,21167.41843,58.17141257,41.828587430000006
Dwyfor Meirionnydd,Dwyfor Meirionnydd,W07000096,213,WA,Wales,County,62.7,69.6,72533,50518,9880,19.56,PC,Con,26.19,22.85,0.16,0,5.06,0,45.75,0,W07000096,22707.5026,29481.79939,43.50987987,56.49012013
Ealing Central and Acton,Ealing Central & Acton,E14001207,214,GL,England,Borough,26.3,70.3,75399,52985,14133,26.67,Lab,Con,25.62,52.29,17.35,3.38,1.36,0,0,0,E14001207,17761.24467,38621.06456,31.5014495,68.4985505
Ealing North,Ealing North,E14001208,215,GL,England,Borough,1.9,66.8,72985,48764,11908,24.42,Lab,Con,31.9,56.32,8.84,2.94,0,0,0,0,E14001208,24921.42243,25722.07572,49.20952016,50.79047984
Ealing Southall,Ealing Southall,E14001209,216,GL,England,Borough,16.9,67.9,75085,50998,18266,35.82,Lab,Con,23.93,59.75,9.79,3.78,1.85,0,0,0.9,E14001209,19130.21452,29373.98208,39.44032859,60.55967141000001
Earley and Woodley,Earley & Woodley,E14001210,217,SE,England,Borough,113,72.9,70083,51110,11293,22.1,Con,Lab,48.76,26.67,21.81,2.22,0.54,0,0,0,E14001210,24135.7395,26020.55021,48.12106247,51.87893753
Easington,Easington,E14001211,218,NE,England,County,14.2,56.9,70043,39848,7852,19.7,Lab,Con,27.06,46.76,4.14,0.26,18.14,0,0,3.63,E14001211,31812.99493,16236.63637,66.20861404,33.79138596
East Grinstead and Uckfield,East Grinstead & Uckfield,E14001212,219,SE,England,County,124.4,79.1,72356,57231,20291,35.45,Con,LD,58.47,13.57,23.01,4.94,0,0,0,0,E14001212,27259.64689,28386.23255,48.98771871,51.01228129
East Ham,East Ham,E14001213,220,GL,England,Borough,19.7,66.6,70902,47247,29863,63.21,Lab,Con,14.57,77.78,3.57,1.6,1.96,0,0,0.53,E14001213,15484.86981,19797.61835,43.88825906,56.11174094
East Kilbride and Strathaven,East Kilbride & Strathaven,S14000077,221,SC,Scotland,County,10.5,68.8,75161,51684,13169,25.48,SNP,Lab,21.36,21.56,6.88,2.08,0,47.04,0,1.08,S14000077,18510.27099,30561.64227,37.72070368,62.27929632
Eastbourne,Eastbourne,E14001219,222,SE,England,Borough,8,69.9,73322,51259,2168,4.23,Con,LD,47.09,6.95,42.86,0,2.75,0,0,0.36,E14001219,30700,22845,57.33495191,42.66504809
Eastleigh,Eastleigh,E14001220,223,SE,England,Borough,67.9,70.8,69982,49572,8641,17.43,Con,LD,51.87,11.66,34.43,2.04,0,0,0,0,E14001220,27785.0884,25614.97125,52.03194262,47.96805738
Edinburgh East and Musselburgh,Edinburgh East & Musselburgh,S14000078,224,SC,Scotland,Borough,22.7,69,75705,52253,11796,22.57,SNP,Lab,14.07,26.39,6.97,3.6,0,48.97,0,0,S14000078,15870.59527,32166.22928,33.03839382,66.96160618
Edinburgh North and Leith,Edinburgh North & Leith,S14000079,225,SC,Scotland,Borough,13.3,76.7,76770,58855,12983,22.06,SNP,Lab,17.61,21.73,12.51,3.26,0.86,43.79,0,0.23,S14000079,8616.397023,45467.00274,15.93168525,84.06831475
Edinburgh South,Edinburgh South,S14000080,226,SC,Scotland,Borough,6.7,74.7,70980,53029,10795,20.36,Lab,SNP,16.82,46.22,8.19,2.91,0,25.86,0,0,S14000080,17494.43026,36656.22485,32.30695959,67.69304041000001
Edinburgh South West,Edinburgh South West,S14000081,227,SC,Scotland,Borough,NA,71.1,73315,52131,11982,22.98,SNP,Con,24.65,14.34,9.54,2.43,1.2,47.63,0,0.22,S14000081,12085.5259,36583.85192,24.83188904,75.16811096
Edinburgh West,Edinburgh West,S14000082,228,SC,Scotland,Borough,14.7,71.7,76723,55024,2888,5.25,LD,SNP,18.03,8.7,38.23,1.96,0.09,32.98,0,0,S14000082,13585.18659,41559.50647,24.635528530000002,75.36447147000001
Edmonton and Winchmore Hill,Edmonton & Winchmore Hill,E14001221,229,GL,England,Borough,49,64.2,75204,48247,13067,27.08,Lab,Con,31.11,58.19,6.73,2.06,1.75,0,0,0.16,E14001221,23290.11147,27756.16118,45.62548891,54.37451109
Ellesmere Port and Bromborough,Ellesmere Port & Bromborough,E14001222,230,NW,England,Borough,64.9,63.7,71027,45216,14577,32.24,Lab,Con,27.06,59.3,7.42,1.9,4.33,0,0,0,E14001222,28995.20414,17929.08685,61.79145923,38.20854077
Eltham and Chislehurst,Eltham & Chislehurst,E14001223,231,GL,England,Borough,43.9,68.9,74179,51087,3444,6.74,Con,Lab,46.85,40.11,7.49,2.97,2.58,0,0,0,E14001223,53057.45628,56981.70289,48.21688632,51.78311368000001
Ely and East Cambridgeshire,Ely & East Cambridgeshire,E14001224,232,EE,England,County,54.2,71.4,76279,54465,13449,24.69,Con,LD,53.95,14.37,29.26,0.57,0,0,0,1.85,E14001224,28598.66244,29579.29295,49.157214700000004,50.8427853
Enfield North,Enfield North,E14001225,233,GL,England,Borough,20.1,66.1,76824,50808,8853,17.42,Lab,Con,35.92,53.34,6.53,2.42,1.79,0,0,0,E14001225,24748.65409,28073.71752,46.85259926,53.147400739999995
Epping Forest,Epping Forest,E14001226,234,EE,England,County,NA,67.4,74553,50268,22173,44.11,Con,Lab,64.38,20.27,10.72,3.93,0,0,0,0.7,E14001226,34928.35511,22062.55092,61.28759401,38.71240599
Epsom and Ewell,Epsom & Ewell,E14001227,235,SE,England,Borough,25.7,74.7,76844,57397,16856,29.37,Con,LD,53.58,16.82,24.21,3.3,0,0,0,2.09,E14001227,28611.09808,32592.03765,46.74776503,53.25223497
Erewash,Erewash,E14001228,236,EM,England,County,NA,67.8,71986,48814,10606,21.73,Con,Lab,56.46,34.73,5.09,2.28,0,0,0,1.43,E14001228,34507.24041,20120.85909,63.167565270000004,36.83243473
Erith and Thamesmead,Erith & Thamesmead,E14001229,237,GL,England,Borough,47.5,56.2,76728,43085,12988,30.15,Lab,Con,28.21,58.35,4.92,2.85,5.05,0,0,0.63,E14001229,13733.36872,13994.0812,49.52986574,50.47013426
Esher and Walton,Esher & Walton,E14001230,238,SE,England,Borough,22,76.7,73280,56178,3015,5.37,Con,LD,49.52,4.8,44.15,0.23,0,0,0,1.29,E14001230,23444.44046,33977.04865,40.828687699999996,59.171312300000004
North West Essex,Essex North West,E14001402,239,EE,England,County,11.9,72.5,76280,55277,23227,42.02,Con,LD,61.7,13.78,19.68,4.84,0,0,0,0,E14001402,29090.13269,27731.02859,51.19594889,48.80405111
Exeter,Exeter,E14001231,240,SW,England,Borough,13,67.4,71713,48358,10988,22.72,Lab,Con,32.08,54.8,0.02,9.34,2.6,0,0,1.17,E14001231,22277.15191,27597.93124,44.66589428,55.334105720000004
Exmouth and Exeter East,Exmouth & Exeter East,E14001232,241,SW,England,County,40.6,74.9,74502,55832,8809,15.78,Con,Other,49.84,10.53,3.03,1.74,0.31,0,0,34.56,E14001232,26324.44121,25828.499,50.475469090000004,49.524530909999996
Falkirk,Falkirk,S14000083,242,SC,Scotland,County,41.7,64.9,75067,48713,12578,25.82,SNP,Con,25.93,12.07,6.78,3.1,0.36,51.75,0,0,S14000083,20324.50192,27468.22429,42.52634978,57.47365022
Fareham and Waterlooville,Fareham & Waterlooville,E14001233,243,SE,England,County,89.9,65.4,77036,50378,21276,42.23,Con,LD,61.18,15.78,18.94,4.1,0,0,0,0,E14001233,34186.977,23514.79624,59.247706060000006,40.75229394
Farnham and Bordon,Farnham & Bordon,E14001234,244,SE,England,County,84.5,70.1,72938,51141,13577,26.55,Con,LD,59.4,6.82,32.85,0.94,0,0,0,0,E14001234,25818.66582,33255.71771,43.70534956,56.294650440000005
Faversham and Mid Kent,Faversham & Mid Kent,E14001235,245,SE,England,County,21.4,67.2,71798,48215,20618,42.76,Con,Lab,62.61,19.85,12.47,4.09,0,0,0,0.98,E14001235,30140.93817,22275.40029,57.50294479,42.49705521
Feltham and Heston,Feltham & Heston,E14001236,246,GL,England,Borough,8.3,58.3,75226,43883,6993,15.94,Lab,Con,35.79,51.72,6.62,2.39,3.47,0,0,0,E14001236,30440.17461,19973.92082,60.38028522,39.619714779999995
Fermanagh and South Tyrone,Fermanagh & South Tyrone,N05000007,247,NI,Northern Ireland,County,10.5,69.2,74643,51635,510,0.99,SF,UUP,0,NA,NA,0,NA,NA,NA,1.45,NA,NA,NA,NA,NA
North East Fife,Fife North East,S14000100,248,SC,Scotland,County,15.7,74.1,70452,52183,728,1.4,SNP,LD,13.66,5.48,39.56,0,0.35,40.95,0,0,S14000100,22650.56887,31374.21667,41.92625411,58.07374589
Filton and Bradley Stoke,Filton & Bradley Stoke,E14001237,249,SW,England,Borough,34.8,70,73598,51495,7842,15.23,Con,Lab,51,35.77,10.01,2.72,0,0,0,0.5,E14001237,25153.7304,26055.33107,49.11968639,50.88031361
Finchley and Golders Green,Finchley & Golders Green,E14001238,250,GL,England,Borough,0.8,73.1,75761,55412,6629,11.96,Con,LD,43.79,24.36,31.83,0.01,0,0,0,0,E14001238,17540.85027,38552.54332,31.27079527,68.72920473
Folkestone and Hythe,Folkestone & Hythe,E14001239,251,SE,England,County,20.9,64,70023,44795,13239,29.55,Con,Lab,56.32,26.76,10,4.88,0,0,0,2.04,E14001239,31853.30327,18309.94516,63.49928337,36.50071663
Forest of Dean,Forest of Dean,E14001240,252,SW,England,County,NA,72,71510,51475,15869,30.83,Con,Lab,59.6,28.77,0,9.09,0,0,0,2.53,E14001240,31551.28201,22856.92072,57.98993613,42.010063869999996
Foyle,Foyle,N05000008,253,NI,Northern Ireland,County,6.5,63.4,69890,44276,16413,37.07,SDLP,SF,0,NA,NA,0,NA,NA,NA,4.4,NA,NA,NA,NA,NA
Frome and East Somerset,Frome & East Somerset,E14001241,254,SW,England,County,91.7,68.4,70177,47970,12395,25.84,Con,LD,49.29,21.17,23.45,6.08,0,0,0,0,E14001241,26245.23876,23636.61726,52.614799950000005,47.385200049999995
Fylde,Fylde,E14001242,255,NW,England,County,25.4,69.2,75114,51947,19254,37.06,Con,Lab,62.23,25.17,7.35,3.47,0,0,0,1.78,E14001242,31145.55167,24036.50724,56.44144544,43.558554560000005
Gainsborough,Gainsborough,E14001243,256,EM,England,County,2.7,65.7,74750,49122,22172,45.14,Con,Lab,66.3,21.16,10.36,0,0,0,0,2.18,E14001243,33847,20906,61.8176173,38.1823827
Gateshead Central and Whickham,Gateshead Central & Whickham,E14001244,257,NE,England,Borough,50.6,59.2,70994,42021,5911,14.07,Lab,Con,33.02,47.09,12.23,3.79,3.88,0,0,0,E14001244,29736.80314,24760.4367,54.565705019999996,45.434294980000004
Gedling,Gedling,E14001245,258,EM,England,County,6.9,71.4,75795,54100,2407,4.45,Con,Lab,47.2,42.75,4.49,2.19,3.36,0,0,0,E14001245,32531.01768,24876.02036,56.66729863,43.332701369999995
Gillingham and Rainham,Gillingham & Rainham,E14001246,259,SE,England,Borough,NA,62.1,73951,45958,15119,32.9,Con,Lab,61.3,28.4,5.45,2.27,0,0,0,2.58,E14001246,33815.85119,19280.37848,63.68785769,36.31214231
Glasgow East,Glasgow East,S14000084,260,SC,Scotland,Borough,84.2,59,69748,41185,6276,15.24,SNP,Lab,12.31,33.46,4.1,1.37,0.06,48.69,0,0,S14000084,13167.67152,21350.34693,38.14724052,61.852759479999996
Glasgow North,Glasgow North,S14000085,261,SC,Scotland,Borough,77,56.7,73210,41539,5582,13.44,SNP,Lab,8.81,34.12,5.19,3.74,0.59,47.56,0,0,S14000085,19128.45068,25054.92433,43.29332171,56.70667829
Glasgow North East,Glasgow North East,S14000086,262,SC,Scotland,Borough,70.1,56.7,75236,42673,4277,10.02,SNP,Lab,10.98,37.72,3.4,0.15,0,47.75,0,0,S14000086,15041.61273,23194.98752,39.33825871,60.66174129
Glasgow South,Glasgow South,S14000087,263,SC,Scotland,Borough,19.6,68,71344,48548,9151,18.85,SNP,Lab,12.69,29.45,6.02,2.61,0.93,48.3,0,0,S14000087,10745.99026,34081.62124,23.9718109,76.02818909999999
Glasgow South West,Glasgow South West,S14000088,264,SC,Scotland,Borough,47.1,61.1,70431,43023,5533,12.86,SNP,Lab,12.6,33.84,4.4,0.83,1.62,46.71,0,0,S14000088,11738.02513,24819.46094,32.10840348,67.89159652
Glasgow West,Glasgow West,S14000089,265,SC,Scotland,Borough,25.4,65.2,72499,47262,9728,20.58,SNP,Lab,15.35,28.01,7.52,0.38,0.16,48.59,0,0,S14000089,11485.1589,35119.24381,24.64393541,75.35606459
