"","ons_code","pc_no_ed","pc_elem_ed","pc_losec_ed","pc_upsec_ed","pc_degree","pc_other_ed"
"17","E14001079",0.219508502212905,0.110598648963429,0.149604006522246,0.173084090379688,0.248707197763802,0.0984975541579315
"18","E14001080",0.0984643593857438,0.0568072427228971,0.0950492780197112,0.242104056841623,0.452589961035984,0.0549851019940408
"19","E14001081",0.0923727983812187,0.0440486939872282,0.0639353357774611,0.106874381262171,0.65221222571556,0.0405565648763612
"20","E14001082",0.137965361887866,0.0839406276722015,0.129108011180172,0.150217604941738,0.426033463938841,0.0727349303791814
"21","E14001083",0.121226051878498,0.0765075680086426,0.117651791152843,0.140304099481675,0.486317821884589,0.0579926675937525
"22","E14001084",0.197585567662884,0.111441425148076,0.130080933218791,0.151263733779446,0.320183569200163,0.0894447709906407
"23","E14001085",0.12555211894297,0.0560421075478865,0.0692712572575832,0.131227955939009,0.569352650713549,0.0485539095990016
"24","E14001086",0.181466470154753,0.0723732692083931,0.0891769770779196,0.142836365046736,0.461951673583369,0.0521952449288291
"25","E14001087",0.170830973486295,0.0998379937568326,0.137323340753131,0.17508528377435,0.316662934815537,0.100259473413854
"26","E14001088",0.184853270167127,0.110527701013291,0.148006316620608,0.167048295828398,0.297565469140676,0.0919989472298987
"27","E14001089",0.186400010210203,0.1138820466351,0.147869258356413,0.163529156509642,0.305119140300946,0.0832003879876967
"28","E14001090",0.141139647454173,0.0990306809496658,0.131676958352036,0.157347535454755,0.389122760193621,0.0816824175957491
"29","E14001091",0.205679174792641,0.100589769496464,0.151037383397166,0.178375901689419,0.27958833619211,0.0847294344322
"30","E14001092",0.189994726826696,0.0814590641263727,0.105027856111149,0.171458376321159,0.392392874337987,0.0596671022766353
"31","E14001093",0.265723518699803,0.117146135303839,0.136135409100957,0.16028252334186,0.241765876148672,0.0789465374048694
"32","E14001094",0.249854631658988,0.0994654917922798,0.121718030147157,0.144361944804759,0.330567607460751,0.0540322941360648
"33","E14001095",0.294951479890926,0.121990262858657,0.149600909683046,0.156843046555017,0.204479968205253,0.0721343328071008
"34","E14001096",0.24579156259623,0.0947497177267595,0.103962089848428,0.183315085366271,0.315803879973997,0.0563776644883156
"35","E14001097",0.234053687603325,0.108802435804422,0.143151084099478,0.165499113928567,0.274099358936239,0.0743943196279689
"36","E14001098",0.289037620769687,0.115722998866519,0.125362983753441,0.151281912883899,0.249052733847898,0.0695417498785556
"37","E14001099",0.17837264177571,0.078376028812392,0.109107741636842,0.253293893172863,0.32472649678796,0.0561231978142323
"38","E14001100",0.276601703816081,0.116618041778504,0.140856576029875,0.159190103862761,0.235663437974093,0.071070136538686
"39","E14001101",0.225549214291299,0.0977901128397571,0.146352904385896,0.179227581893519,0.257589972115811,0.0934902144737185
"40","E14001102",0.266862722032702,0.111022232678508,0.136066345135866,0.149241265733443,0.254111281025762,0.0826961533937184
"41","E14001103",0.255445946591506,0.106948359050303,0.131574547365404,0.148724501982516,0.270864185735442,0.0864424592748292
"42","E14001104",0.220873117309475,0.11026739844122,0.152883241861514,0.174798887301707,0.242287547302208,0.0988898077838759
"43","E14001105",0.251926642392834,0.119820403422164,0.149239395090133,0.165054616123484,0.221156208814529,0.0928027341568566
"44","E14001106",0.185236069645169,0.0959734735395915,0.143993236281011,0.186913789003672,0.291579698274723,0.0963037332558324
"45","E14001107",0.21718890960486,0.10857039754616,0.157129969326998,0.193011367053588,0.225885607746437,0.0982137487219583
"46","E14001108",0.205094919504266,0.120005769508149,0.153446726358886,0.171820390773225,0.248288564169135,0.101343629686338
"47","E14001109",0.239982126035603,0.114731528223956,0.151240308205116,0.177568174681771,0.222120238641579,0.0943576242119755
"48","E14001110",0.226319875776398,0.109472049689441,0.141426353149956,0.166304347826087,0.264596273291925,0.0918811002661934
"49","E14001111",0.264189521913204,0.113269959534973,0.141788168796968,0.156229258997581,0.235339456612499,0.0891836341447749
"50","E14001112",0.176646103487347,0.0953040412942213,0.13559108649125,0.172290066725419,0.330567795543246,0.0896009064585169
