ons_code,pc_no_ed,pc_elem_ed,pc_losec_ed,pc_upsec_ed,pc_degree,pc_other_ed,con_name_gb,total_area,pc_green_belt,pc_employed,pc_unemp,pc_student,pc_retired,pc_carer,pc_sick_disabled,pc_emp_other,pc_ns_prof_man,pc_ns_inter,pc_ns_routine,pc_never_worked,id_british,id_welsh,id_english,id_other_uk,id_non_uk,dist_under_5,dist_5_10,dist_10_30,dist_30_60,dist_over_60,dist_wfh,dist_na,av_dist,pc_trav_wfh,pc_trav_pubtrans,pc_trav_car,pc_trav_other
E14001347,0.136698780349943,0.0819715373117456,0.13446296459121,0.165425244620853,0.406617009784834,0.0748244633414141,Macclesfield,30170,43.8,0.5712473307373446,0.02101494787087049,0.04671523677929908,0.27809320437131013,0.02988318050496169,0.03172968220072855,0.02131641753548549,0.424320454202884,0.23573079435261016,0.23654725418278652,0.05823242727227051,0.5965407916627429,0.00628851848364043,0.33243347877494217,0.01198062173671929,0.05275658934195519,0.23943206791054425,0.07508510363252467,0.15796957814452536,0.0277933382169173,0.0096307148705132,0.37697677424914894,0.11311242297582626,6.3422674193131385,0.37697677424914894,0.01544792519498427,0.4575774550782092,0.1499978454776576
E14001348,0.125235562128766,0.0809260275279693,0.125390615681878,0.155733403306219,0.445755110803654,0.0669592805515136,Maidenhead,18240,76.9,0.6177838740458015,0.02702767175572519,0.05564169847328244,0.20943463740458015,0.04737595419847328,0.01935830152671755,0.02337786259541984,0.4660551990649078,0.23481071539323967,0.1864817156079292,0.05925431168149615,0.5791236420866761,0.00651606464243215,0.26764807492994513,0.01358872979923995,0.13312348854170666,0.1552475923257754,0.07605975582012588,0.1251232274209449,0.03167892621521195,0.00646470008341548,0.4893834837339805,0.116042314400546,5.403759384242057,0.4893834837339805,0.03012436490483051,0.3748578145142944,0.10563433684689467
E14001349,0.164866134335369,0.107917377905578,0.150465694417395,0.177972023966365,0.310714981269118,0.088063788106176,Maidstone and Malling,5180,7.2,0.612242092359862,0.02584518095063524,0.05433674346137543,0.20058655729817043,0.04482809976056547,0.03119522505699458,0.03096610111239675,0.3598391549908923,0.24308904902106795,0.2800009164957784,0.0650368316740941,0.5476575715231301,0.00312568949032874,0.3189214532617489,0.00714311980583952,0.12315216591895271,0.2353932687198842,0.07663839064876056,0.14803686264451,0.05578864440006596,0.010076766640406,0.30862388010479835,0.1654421868415749,7.440638683791063,0.30862388010479835,0.04950440629523094,0.4794708781444093,0.16240083545556147
E14001350,0.21095034722633,0.103079489393921,0.158895974067458,0.180699658097413,0.246844203627243,0.0995303275876347,Makerfield,5690,54.2,0.5563639374903881,0.02300931019389336,0.05380274692124783,0.24767245152665887,0.03786776448876743,0.0494848043912884,0.03179898498775597,0.2768484561694073,0.2163137347687212,0.3630308766118538,0.09139950313498166,0.58665348300665,0.00234591597355512,0.37457104635607513,0.00574846352197599,0.03068109114174373,0.24534206544942075,0.16275310356262046,0.17626577687509068,0.0205798843547284,0.0092433317444198,0.21740482062547928,0.16841101738824066,7.024880313361382,0.2174003150128492,0.04028848545138025,0.6059852441349581,0.1363259554008124
E14001351,0.184582471996539,0.119285130522571,0.164343060429787,0.177960194221432,0.264145954521417,0.0896831883082544,Maldon,38410,21.2,0.5565905075538141,0.02132134658606059,0.04380851651983702,0.2793408891506316,0.04475800151436847,0.02728267009603019,0.02689806857925795,0.3651802884615384,0.2721875,0.25830528846153844,0.06198317307692307,0.55439305433304,0.00316075858205969,0.4032767864287429,0.00630151236296711,0.03286788829319036,0.13263122205505287,0.08359644847534488,0.19948719035409293,0.05700239452437965,0.01318047932868555,0.3371405564620373,0.17696170880040685,8.567841325676506,0.3371405564620373,0.03710453264393634,0.5163060753109703,0.1094488355830561
E14001352,0.18882516078369,0.0752676414747368,0.100943330583195,0.160922853649566,0.406695758491466,0.0673452550173458,Manchester Central,2760,11.4,0.5449051202274331,0.03823023627995745,0.16299042753054144,0.09827934115963062,0.05563562986451427,0.05356805598353893,0.04639118895438415,0.299132215385533,0.16551525332750172,0.25963956620709533,0.1167384022027614,0.5144138477499041,0.00610209366346177,0.21895651747714776,0.01299656093516423,0.2475309801743222,0.28334428952011903,0.127097533128049,0.09099401446216655,0.01899456803791993,0.0129225339930111,0.35612220184755905,0.11052485901117531,5.370030792651282,0.35610988098533075,0.1344969554386936,0.3051134791032383,0.20427968447273737
E14001353,0.160495320627729,0.0626299061926076,0.0805885781526652,0.27873882394343,0.369807876301811,0.047739494781757597,Manchester Rusholme,1480,0,0.3923414457115835,0.04092113800574062,0.3474172724373426,0.06096930639715828,0.0632897471709318,0.04820138346658455,0.04685970681065863,0.2045507032805094,0.1290099086120245,0.1927395497685058,0.13204517711231592,0.5630274881173983,0.0075452261760613,0.1391122838089386,0.01289465599190356,0.27742034590569825,0.3340180470985254,0.11243978186975766,0.07940234269923947,0.01917198542537842,0.01865845010148436,0.3148216076101044,0.12148778519551023,5.621805688015064,0.3148216076101044,0.15875577727239382,0.28635707822854767,0.2400655368889541
E14001354,0.10778380905384,0.0475027919902345,0.0739812482144249,0.188439861828948,0.544606913746981,0.0376853751655715,Manchester Withington,1820,18.5,0.5700686986221316,0.02853135592119787,0.17512304715400698,0.12341077620352454,0.03707647753983611,0.03571289430281937,0.03007675025648351,0.4352884652841802,0.1608211813896716,0.15431561724948384,0.07761228915349755,0.6076238602658465,0.01132593650444908,0.203174777545864,0.02284961001867516,0.15502581566516532,0.200369185859323,0.16980403099444075,0.06553049002983537,0.01674214943441585,0.00995943248406276,0.4520594990233746,0.08553521217454764,4.635214320977054,0.4520303914835165,0.10081129807692309,0.31222098214285715,0.1349373282967033
E14001355,0.243308550185874,0.117414033457249,0.146700743494424,0.175720260223048,0.219144981412639,0.0977114312267658,Mansfield,7080,0,0.5541421252570313,0.02448913207634847,0.04569058655421183,0.23873418603840657,0.04576028996619384,0.06198956772267336,0.02919411238513458,0.23894052044609665,0.1991171003717472,0.4233619888475837,0.09460966542750927,0.5297066362859584,0.00242096268869268,0.3719927845817906,0.00736732175068831,0.08851229469287003,0.30614044079958996,0.1585033316248078,0.17131727319323423,0.0253818554587391,0.01347001537672988,0.17016914402870323,0.1550179395181958,7.600256278831369,0.17016914402870323,0.04008200922603792,0.610415171706817,0.17933367503844183
E14001356,0.143302341820439,0.102065095108169,0.147996327570377,0.177130073836525,0.348156673089108,0.0813494885753818,Melksham and Devizes,41750,16.1,0.5636808007138147,0.01960403977706223,0.04496256352562362,0.2808576120831232,0.03554848637674412,0.03059575073385835,0.02475074678977383,0.38047146754942907,0.24170793839628615,0.2836563950706684,0.05141401471558067,0.5774682647838357,0.01196441792838518,0.3487279087485112,0.0135310591997253,0.04830834933954267,0.17619079822366493,0.10053876152476274,0.16372489348752284,0.04824057167331665,0.01674894614638984,0.35093888776177273,0.14361714118257027,7.979756993755776,0.35093888776177273,0.01444962917878316,0.4924595928856428,0.1421518901738013
E14001357,0.177291913316518,0.104159159932053,0.144039223760745,0.179801307458692,0.301062953621249,0.0936454419107428,Melton and Syston,56970,0,0.5860786534204973,0.01896844597724816,0.05014927677973953,0.25881505121737786,0.03546610387604879,0.02825963864724352,0.02226283008184485,0.33144592577340815,0.2381865444999228,0.3212024501981778,0.06053430792196428,0.5697358938488278,0.00377294501674509,0.3691233201916147,0.00915681037771842,0.0482110305650939,0.21396270295878375,0.11632714587191524,0.19529264826219905,0.03988113183168956,0.01345880528877212,0.2781988888410354,0.14287867694560488,8.184568672208105,0.2781988888410354,0.01959602050045221,0.557775959343641,0.14442913131487145
E14001358,0.181812487472439,0.0963995790739627,0.144705852876328,0.157872319102024,0.348128382441371,0.0710813790338745,Meriden and Solihull East,13360,78,0.5344574871904088,0.03009157761547423,0.05918093782493768,0.26129060546459043,0.04788093657216592,0.04105333049371735,0.02604512483870563,0.3799937362981522,0.21612276855621673,0.2643783275916066,0.08248042593172565,0.5838236329441109,0.00571261905480292,0.34556316567601003,0.00864938800551147,0.05625119431956471,0.1866079214282436,0.1500068842076277,0.16561108816375236,0.01459452017072835,0.01372252053788609,0.35586763963467805,0.11358942585708386,6.658348249116527,0.35586763963467805,0.0600991325898389,0.4709027490935793,0.1131304786819037
E14001359,0.130125134789478,0.093186548637059,0.142575920956943,0.184555006645435,0.368921934949971,0.0806354540211149,Mid Bedfordshire,34750,41,0.6243276115005079,0.01923438616729151,0.06407282484671423,0.2162928040324502,0.03628703622434266,0.02060110591451105,0.01918423131418253,0.4195275472076635,0.24698447726759787,0.22477869448554305,0.04629234897309226,0.561552669089157,0.00489851639196161,0.3508060468571199,0.01041938527634458,0.07232338238541687,0.11259332023575638,0.09776031434184676,0.2024165029469548,0.04237721021611002,0.01964636542239685,0.3833005893909627,0.1419056974459725,8.541699410609036,0.3832930590754602,0.02636490442230997,0.5031335337223237,0.08720850277990609
