ons_code,pc_trav_wfh,pc_trav_pubtrans,pc_trav_car,pc_trav_other
E14001200,0.1808736662697579,0.053325862109219954,0.5969741542340828,0.16882631738693937
E14001201,0.425804361908875,0.04346793349168646,0.422219822932412,0.10850788166702656
E14001202,0.23307719641112196,0.045260726658967756,0.5462823132273252,0.17537976370258507
E14001203,0.2888093938842741,0.015744053032599688,0.5568018755431597,0.13864467753996645
E14001204,0.18335390664289306,0.06601746445389292,0.6024322223746171,0.1481964065285969
E14001205,0.49734256442532954,0.24815552991363335,0.1096367005839365,0.1448652050771006
E14001206,0.2980680103960306,0.03954853601352211,0.5175114956107668,0.1448719579796805
E14001207,0.46517916512744734,0.24796453638714444,0.1432877724418175,0.1435685260435907
E14001208,0.2839510330543722,0.26544529947631634,0.3224274672908212,0.12817620017849024
E14001209,0.316731407084198,0.2647617020521825,0.2682381737881126,0.15026871707550685
E14001210,0.43509417332490274,0.05073671705849667,0.393765208560863,0.12040390105573757
E14001211,0.20477396777310594,0.03643153743699564,0.591522812149069,0.16727168264082945
E14001212,0.3927684994320811,0.03043624584577847,0.46112910689495606,0.11566614782718439
E14001213,0.20683389220883835,0.43736535471422416,0.21657518592757724,0.13922556714936027
E14001214,0.3933448652585579,0.019528404952658413,0.4716860888565186,0.11544064093226511
E14001215,0.42966693610230267,0.06497543990549028,0.4141018466703973,0.09125577732180978
E14001216,0.2388824636596594,0.06567340181871782,0.4799192688845046,0.21552486563711817
E14001217,0.3316182799906096,0.023867282259957743,0.4931919555520776,0.15132248219735503
E14001218,0.3163245974107989,0.05178402273444901,0.4577623408062309,0.1741290390485212
E14001219,0.2310008897812051,0.06283224202048779,0.4901325545846547,0.21603431361365244
E14001220,0.34950515898083806,0.027984838913455466,0.4947778479679933,0.12773215413771322
E14001221,0.27571823152514985,0.2742150654816708,0.32227879972191426,0.1277879032712651
E14001222,0.22572096648480125,0.04660950896336711,0.5672642244738894,0.16040530007794232
E14001223,0.4112198028174428,0.21709299867391849,0.26832971383545057,0.10335748467318817
E14001224,0.37022244411161037,0.027754664299846528,0.48429208039792165,0.11773081119062148
E14001225,0.2913400384558497,0.21496450229256028,0.36791894690134597,0.12577651235024404
E14001226,0.38998564249820533,0.12365398420674803,0.3836444125388849,0.10271596075616177
